name,url,description,duration,test_type,job_level,language,pdf_url,pdf_data,rich_text,duration_mins
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",8.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Desktop Support (New).pdf,"{'Assessment Name': 'Desktop Support', 'Overview': 'Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.', 'Relevant Job Roles': 'Desktop Support Engineer, Desktop Support Specialist, Desktop Support Lead, Desktop Support Technician', 'Language': 'English (US)', 'Average Testing Time': '08', 'Allowed Time': '20', 'Max Questions': '20', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': '• Overall Score \n• Technical Support and Troubleshooting  \n• OS/Software Installation  \n• Networking Basics  \n• Peripheral Components Installation', 'ONET Competency': 'Computers and Electronics', 'Competencies Measured': ['Troubleshooting desktop/laptop OS issues and email client related issues', 'Perform root cause analysis for incidents', 'Provide remote/ﬁeld support for OS, email client, MS Oﬃce & application.', 'Installation/conﬁguration of email client, Outlook and other software applications', 'Installation of antivirus (Symantec, MacAfee, SCEP)', 'SCCM client installation', 'Installation of OS Windows 7, 8, 10 and managing rights', 'Basic knowledge of ADS, DNS, DHCP, VPN, Wi-Fi', 'Handle IMACs (pre-approved, low impact – Install, Move, Add and Change)', 'Transport and application layer', 'Data communication components and physical layer', 'Memory types (DDR2, SDRAM, etc.)', 'Troubleshooting Windows problem: virus, BSOD, worm etc.', 'Network setting on XP: TCP/IP, proxy setting etc.', 'Basic architecture: bus, master-slave, etc.', 'Troubleshooting devices and driver', 'Security: ﬁrewall, antivirus, spyware', 'Installation/re-installation /conﬁguration of systems, printers, scanners and troubleshooting printer/scanner related issues', 'Perform proactive maintenance of peripherals for reduction of operational issues']}","Assessment Name: Desktop Support (New). Description: Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 8.0 minutes. Overview: Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.. Allowed Time: 20. Max Questions: 20. Sittings: One. Sector: Information Technology. Competencies: Troubleshooting desktop/laptop OS issues and email client related issues, Perform root cause analysis for incidents, Provide remote/ﬁeld support for OS, email client, MS Oﬃce & application., Installation/conﬁguration of email client, Outlook and other software applications, Installation of antivirus (Symantec, MacAfee, SCEP), SCCM client installation, Installation of OS Windows 7, 8, 10 and managing rights, Basic knowledge of ADS, DNS, DHCP, VPN, Wi-Fi, Handle IMACs (pre-approved, low impact – Install, Move, Add and Change), Transport and application layer, Data communication components and physical layer, Memory types (DDR2, SDRAM, etc.), Troubleshooting Windows problem: virus, BSOD, worm etc., Network setting on XP: TCP/IP, proxy setting etc., Basic architecture: bus, master-slave, etc., Troubleshooting devices and driver, Security: ﬁrewall, antivirus, spyware, Installation/re-installation /conﬁguration of systems, printers, scanners and troubleshooting printer/scanner related issues, Perform proactive maintenance of peripherals for reduction of operational issues. Scores Reported: • Overall Score 
• Technical Support and Troubleshooting  
• OS/Software Installation  
• Networking Basics  
• Peripheral Components Installation. ONET Competency: Computers and Electronics.",8
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,7.0,['Knowledge & Skills'],"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),https://service.shl.com/docs/Digital Advertising (New).pdf,"{'Assessment Name': 'Digital Advertising', 'Overview': ""Multi-choice test that measures the candidate's knowledge about the use of AdWords and tools to analyze ad performance on digital media."", 'Relevant Job Roles': 'Advertising and Promotions Manager, Advertising Sales Agent, Promotions Manager, Search Marketing Strategist', 'Language': 'English (US)', 'Average Testing Time': '07', 'Allowed Time': '10', 'Max Questions': '15', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Business', 'Scores Reported': 'Overall Score', 'ONET Competency': None, 'Competencies Measured': ['Social media advertising', 'Content strategy', 'Display advertising', 'Search engine optimization', 'Search engine marketing with AdWords (SEM)', 'Google analytics', 'Ad targeting']}","Assessment Name: Digital Advertising (New). Description: Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.. Job Level: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 7.0 minutes. Overview: Multi-choice test that measures the candidate's knowledge about the use of AdWords and tools to analyze ad performance on digital media.. Allowed Time: 10. Max Questions: 15. Sittings: One. Sector: Business. Competencies: Social media advertising, Content strategy, Display advertising, Search engine optimization, Search engine marketing with AdWords (SEM), Google analytics, Ad targeting. Scores Reported: Overall Score.",7
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers).",,['Personality & Behavior'],"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",,https://service.shl.com/docs/Sample Report Digital readiness DR - Individual Contributor UKE.pdf,"{'Assessment Name': 'Digital Readiness Development Report Individual Contributor', 'Overview': ""This report is based on responses to the OPQ32r Occupational Personality Questionnaire, a self-report personality questionnaire. It provides a framework for discussing how an individual's personality preferences are likely to influence their behavior in the new digital environment, summarizing typical work style and indicating likely strengths and development suggestions. Digital Readiness is defined as the ability to engage in behaviors (competencies) necessary to perform well in a digital business environment, which are key to propelling business growth and developing new markets and products."", 'Relevant Job Roles': 'Individual Contributor', 'Language': None, 'Average Testing Time': None, 'Allowed Time': None, 'Max Questions': None, 'Sittings': None, 'Test Type': 'Self-report personality questionnaire (OPQ32r Occupational Personality Questionnaire)', 'Sector': None, 'Scores Reported': 'Overall Fit Score (1-5) and potential performance on competencies and Digital Readiness Objectives.', 'ONET Competency': None, 'Competencies Measured': ['Decision Making', 'Collaboration', 'Building Relationships', 'Influence', 'Communication', 'Applying Expertise and Technology', 'Critical Thinking', 'Learning', 'Creativity and Innovation', 'Strategic Thinking', 'Planning and Organising', 'Delivering Results', 'Adaptability', 'Initiative']}","Assessment Name: Digital Readiness Development Report - IC. Description: This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers).. Job Level: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Language: . Test Type: Personality & Behavior. Duration: nan minutes. Overview: This report is based on responses to the OPQ32r Occupational Personality Questionnaire, a self-report personality questionnaire. It provides a framework for discussing how an individual's personality preferences are likely to influence their behavior in the new digital environment, summarizing typical work style and indicating likely strengths and development suggestions. Digital Readiness is defined as the ability to engage in behaviors (competencies) necessary to perform well in a digital business environment, which are key to propelling business growth and developing new markets and products.. Allowed Time: . Max Questions: . Sittings: . Sector: . Competencies: Decision Making, Collaboration, Building Relationships, Influence, Communication, Applying Expertise and Technology, Critical Thinking, Learning, Creativity and Innovation, Strategic Thinking, Planning and Organising, Delivering Results, Adaptability, Initiative. Scores Reported: Overall Fit Score (1-5) and potential performance on competencies and Digital Readiness Objectives..",0
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",10.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Docker (New).pdf,"{'Assessment Name': 'Docker', 'Overview': 'Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.', 'Relevant Job Roles': 'DevOps Engineer, Cloud Infrastructure Architect, Application Development Specialist, Software Engineer', 'Language': 'English (US)', 'Average Testing Time': '10', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': 'Overall Score, Basics and Containerization, Performance and Network Monitoring', 'ONET Competency': None, 'Competencies Measured': ['Basics of Docker', 'Container and data management', 'Docker performance', 'Network and data management for containers', 'Creating and managing container images', 'Docker swarm', 'Containerization with Docker']}","Assessment Name: Docker (New). Description: Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 10.0 minutes. Overview: Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Information Technology. Competencies: Basics of Docker, Container and data management, Docker performance, Network and data management for containers, Creating and managing container images, Docker swarm, Containerization with Docker. Scores Reported: Overall Score, Basics and Containerization, Performance and Network Monitoring.",10
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",11.0,['Knowledge & Skills'],"Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Dojo (New).pdf,"{'Assessment Name': 'Dojo', 'Overview': 'Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.', 'Relevant Job Roles': 'Java Dojo Developer, Front End Developer, Web Developer', 'Language': 'English (US)', 'Average Testing Time': '11', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Information Technology', 'Scores Reported': ['Overall Score', 'Dojo Basics', 'Querying and Styling', 'Dojo with JS and AJAX'], 'ONET Competency': 'Programming', 'Competencies Measured': ['Introduction to Dojo', 'Dojo toolkit libraries', 'Widgets', 'Dojo query', 'Basic styling and animation', 'Client side validation', 'Event handling', 'Dojo and JavaScript', 'Dojo and Ajax', 'Dojo and classes']}","Assessment Name: Dojo (New). Description: Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.. Job Level: Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 11.0 minutes. Overview: Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Information Technology. Competencies: Introduction to Dojo, Dojo toolkit libraries, Widgets, Dojo query, Basic styling and animation, Client side validation, Event handling, Dojo and JavaScript, Dojo and Ajax, Dojo and classes. Scores Reported: Overall Score, Dojo Basics, Querying and Styling, Dojo with JS and AJAX. ONET Competency: Programming.",11
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",11.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Econometrics (New).pdf,"{'Assessment Name': 'Econometrics', 'Overview': 'Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.', 'Relevant Job Roles': 'Economist, Financial Quantitative Analyst, Economic Consultant, Revenue Research Analyst', 'Language': 'English (US)', 'Average Testing Time': '11', 'Allowed Time': '20', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Business', 'Scores Reported': '• Overall Score • Simple Linear Regression • Multiple Linear Regression • Violations of Classical Assumptions', 'ONET Competency': 'Mathematics', 'Competencies Measured': ['Correlation and regression', 'Formulating null & alternate hypothesis', 'Type I and Type II errors', 'Statistical tests (z-test/t-test) and p-value', 'Multi-variate analysis and conﬁdence intervals', 'F-test & ANOVA', 'Chi-square distribution', 'Multivariable regression', 'Extension of two variable model', 'Heteroscedasticity, Speciﬁcation bias and Multicollinearity', 'Two variable hypothesis and two variable hypothesis testing', 'Autocorrelation']}","Assessment Name: Econometrics (New). Description: Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 11.0 minutes. Overview: Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.. Allowed Time: 20. Max Questions: 12. Sittings: One. Sector: Business. Competencies: Correlation and regression, Formulating null & alternate hypothesis, Type I and Type II errors, Statistical tests (z-test/t-test) and p-value, Multi-variate analysis and conﬁdence intervals, F-test & ANOVA, Chi-square distribution, Multivariable regression, Extension of two variable model, Heteroscedasticity, Speciﬁcation bias and Multicollinearity, Two variable hypothesis and two variable hypothesis testing, Autocorrelation. Scores Reported: • Overall Score • Simple Linear Regression • Multiple Linear Regression • Violations of Classical Assumptions. ONET Competency: Mathematics.",11
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.",14.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Electrical and Electronics Engineering (New).pdf,"{'Assessment Name': 'Electrical and Electronics Engineering', 'Overview': 'Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.', 'Relevant Job Roles': 'Electrical Engineer, Electronics Engineer, Instrumentation and Electrical Reliability Engineer, Electronics Engineering Technologist, Electrical and Electronics Repairer, Circuits Engineer', 'Language': 'English (US)', 'Average Testing Time': '14', 'Allowed Time': '20', 'Max Questions': '18', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Engineering', 'Scores Reported': 'Overall Score \n• Electronics  \n• Electrical Systems  \n• Instrumentation and Control Systems', 'ONET Competency': 'Engineering and Technology', 'Competencies Measured': ['Analog and digital electronics', 'Semiconductors and semiconductor devices', 'Circuit analysis', 'Electrical machines', 'Power systems', 'Power electronics', 'Control systems', 'Instruments and measurements']}","Assessment Name: Electrical and Electronics Engineering (New). Description: Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 14.0 minutes. Overview: Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.. Allowed Time: 20. Max Questions: 18. Sittings: One. Sector: Engineering. Competencies: Analog and digital electronics, Semiconductors and semiconductor devices, Circuit analysis, Electrical machines, Power systems, Power electronics, Control systems, Instruments and measurements. Scores Reported: Overall Score 
• Electronics  
• Electrical Systems  
• Instrumentation and Control Systems. ONET Competency: Engineering and Technology.",14
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.",15.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Electronics and Telecommunications Engineering (New).pdf,"{'Assessment Name': 'Electronics and Telecommunications Engineering', 'Overview': 'Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.', 'Relevant Job Roles': 'Telecommunications Engineering Specialist, Telecommunications Line Installers and Repairer, Telecommunications Equipment Installers and Repairer, Radio Equipment Installers and Repairer', 'Language': 'English (US)', 'Average Testing Time': '15', 'Allowed Time': '20', 'Max Questions': '18', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Engineering', 'Scores Reported': 'Overall Score, Semiconductors and Semiconductor Devices, Analog and Digital Electronics, Communication, Electromagnetism, Microwave Engineering', 'ONET Competency': 'Engineering and Technology', 'Competencies Measured': ['Semiconductors', 'Two-terminal and three-terminal devices', 'Circuit analysis', 'Boolean algebra and logic families', 'Combinational and sequential circuits', 'Basics of VLSI', 'Oscillators and Op-amps', 'Filters', 'Analog and digital communication', 'Optics', 'Electromagnetic theory', 'Electrostatics', 'Magnetostatics', 'Antennas and wave propagation', 'Microwave technology', 'Radars']}","Assessment Name: Electronics & Telecommunications Engineering (New). Description: Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 15.0 minutes. Overview: Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.. Allowed Time: 20. Max Questions: 18. Sittings: One. Sector: Engineering. Competencies: Semiconductors, Two-terminal and three-terminal devices, Circuit analysis, Boolean algebra and logic families, Combinational and sequential circuits, Basics of VLSI, Oscillators and Op-amps, Filters, Analog and digital communication, Optics, Electromagnetic theory, Electrostatics, Magnetostatics, Antennas and wave propagation, Microwave technology, Radars. Scores Reported: Overall Score, Semiconductors and Semiconductor Devices, Analog and Digital Electronics, Communication, Electromagnetism, Microwave Engineering. ONET Competency: Engineering and Technology.",15
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.",7.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Electronics and Semiconductor Engineering (New).pdf,"{'Assessment Name': 'Electronics and Semiconductor Engineering', 'Overview': 'Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.', 'Relevant Job Roles': 'Microsystems Engineer, Semiconductor Processor, Electronics Engineering Technician, Electrical and Electronics Repairer', 'Language': 'English (US)', 'Average Testing Time': '07', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - IRT (1PL)', 'Sector': 'Engineering', 'Scores Reported': ['Overall Score', 'Semiconductors and Semiconductor Devices', 'Analog Electronics', 'Digital Electronics'], 'ONET Competency': 'Engineering and Technology', 'Competencies Measured': ['Basics of semiconductors', 'Two terminal devices', 'Three terminal devices', 'Small and large signal circuit analysis', 'Oscillators and feedback', 'Op-amps', 'Filters', 'Boolean algebra and logic families', 'Combinational circuits', 'Sequential circuits', 'Basics of VLSI systems']}","Assessment Name: Electronics and Semiconductor Engineering (New). Description: Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 7.0 minutes. Overview: Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Engineering. Competencies: Basics of semiconductors, Two terminal devices, Three terminal devices, Small and large signal circuit analysis, Oscillators and feedback, Op-amps, Filters, Boolean algebra and logic families, Combinational circuits, Sequential circuits, Basics of VLSI systems. Scores Reported: Overall Score, Semiconductors and Semiconductor Devices, Analog Electronics, Digital Electronics. ONET Competency: Engineering and Technology.",7
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",13.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Economics (New).pdf,"{'Assessment Name': 'Economics', 'Overview': 'Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.', 'Relevant Job Roles': 'Economist, Financial Quantitative Analyst, Economic Consultant, Revenue Research Analyst, Economics Teacher', 'Language': 'English (US)', 'Average Testing Time': '13', 'Allowed Time': '15', 'Max Questions': '15', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Business', 'Scores Reported': 'Overall Score, Microeconomics, Macroeconomics, International Trade Theory', 'ONET Competency': 'Economics and Accounting', 'Competencies Measured': ['Competition and market structure', 'Demand and supply', 'Production and cost', 'Inflation and unemployment', 'National income determination', 'IS-LM and AD-AS analysis', 'Open economy and demand for money', 'International trade issues', 'Policy interventions']}","Assessment Name: Economics (New). Description: Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 13.0 minutes. Overview: Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.. Allowed Time: 15. Max Questions: 15. Sittings: One. Sector: Business. Competencies: Competition and market structure, Demand and supply, Production and cost, Inflation and unemployment, National income determination, IS-LM and AD-AS analysis, Open economy and demand for money, International trade issues, Policy interventions. Scores Reported: Overall Score, Microeconomics, Macroeconomics, International Trade Theory. ONET Competency: Economics and Accounting.",13
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.",8.0,['Knowledge & Skills'],"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),https://service.shl.com/docs/Electrical Engineering (New).pdf,"{'Assessment Name': 'Electrical Engineering', 'Overview': 'Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.', 'Relevant Job Roles': 'Electrical Engineer, Instrumentation and Electrical Reliability Engineer, Electrical Repairer, Circuits Engineer', 'Language': 'English (US)', 'Average Testing Time': '08', 'Allowed Time': '15', 'Max Questions': '12', 'Sittings': 'One', 'Test Type': 'Multiple Choice - CTT', 'Sector': 'Engineering', 'Scores Reported': ['Overall Score', 'Electrical Machines and Systems', 'Electronics', 'Instrumentation and Control Systems'], 'ONET Competency': 'Engineering and Technology', 'Competencies Measured': ['Fundamentals of electrical engineering', 'Electrical machines', 'Electrical power systems', 'Power electronics', 'Analog electronics', 'Digital electronics', 'Control systems', 'Instruments and measurements']}","Assessment Name: Electrical Engineering (New). Description: Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.. Job Level: Graduate, Mid-Professional, Professional Individual Contributor. Language: English (USA). Test Type: Knowledge & Skills. Duration: 8.0 minutes. Overview: Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.. Allowed Time: 15. Max Questions: 12. Sittings: One. Sector: Engineering. Competencies: Fundamentals of electrical engineering, Electrical machines, Electrical power systems, Power electronics, Analog electronics, Digital electronics, Control systems, Instruments and measurements. Scores Reported: Overall Score, Electrical Machines and Systems, Electronics, Instrumentation and Control Systems. ONET Competency: Engineering and Technology.",8
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",,['Personality & Behavior'],"Director, Executive, Manager, Mid-Professional",,https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 English International.pdf,"{'Assessment Name': 'Enterprise Leadership Report', 'Overview': ""The Enterprise Leadership Report identifies individuals with the potential to be Enterprise Leaders. Enterprise Leaders achieve individual performance objectives, contribute to and draw from others' performance, and encourage their teams to do the same, ultimately driving organisational performance, innovation, adaptability, and collaboration. They focus on both task performance and network performance. This potential is measured through three key Leadership Foundations: Transformational Leadership (setting direction, inspiring change), Transactional Leadership (organizing, directing for strategy execution), and Network Leadership (establishing strong networks, enabling autonomy, empowerment, trust, sharing, and collaboration). The report provides insights into an individual's potential based on their responses to the Occupational Personality Questionnaire (OPQ32)."", 'Relevant Job Roles': 'Leaders, Individuals in leadership roles', 'Language': None, 'Average Testing Time': None, 'Allowed Time': None, 'Max Questions': None, 'Sittings': None, 'Test Type': 'Occupational Personality Questionnaire (OPQ32)', 'Sector': None, 'Scores Reported': 'Enterprise Leadership potential across three Leadership Foundations (Transformational, Transactional, Network), including simple summary scores, detailed findings on strengths and developmental opportunities, and scores for underlying competencies.', 'ONET Competency': None, 'Competencies Measured': ['Creating & Conceptualising', 'Interacting & Presenting', 'Leading & Deciding', 'Enterprising & Performing', 'Analysing & Interpreting', 'Adapting & Coping', 'Supporting & Co-operating', 'Building the Network', 'Energising the Network', 'Creating Interdependence', 'Enabling the Network']}","Assessment Name: Enterprise Leadership Report 1.0. Description: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .. Job Level: Director, Executive, Manager, Mid-Professional. Language: . Test Type: Personality & Behavior. Duration: nan minutes. Overview: The Enterprise Leadership Report identifies individuals with the potential to be Enterprise Leaders. Enterprise Leaders achieve individual performance objectives, contribute to and draw from others' performance, and encourage their teams to do the same, ultimately driving organisational performance, innovation, adaptability, and collaboration. They focus on both task performance and network performance. This potential is measured through three key Leadership Foundations: Transformational Leadership (setting direction, inspiring change), Transactional Leadership (organizing, directing for strategy execution), and Network Leadership (establishing strong networks, enabling autonomy, empowerment, trust, sharing, and collaboration). The report provides insights into an individual's potential based on their responses to the Occupational Personality Questionnaire (OPQ32).. Allowed Time: . Max Questions: . Sittings: . Sector: . Competencies: Creating & Conceptualising, Interacting & Presenting, Leading & Deciding, Enterprising & Performing, Analysing & Interpreting, Adapting & Coping, Supporting & Co-operating, Building the Network, Energising the Network, Creating Interdependence, Enabling the Network. Scores Reported: Enterprise Leadership potential across three Leadership Foundations (Transformational, Transactional, Network), including simple summary scores, detailed findings on strengths and developmental opportunities, and scores for underlying competencies..",0
